no-non-null-asserted-nullish-coalescing	typescript
no-non-null-asserted-optional-chain	typescript
no-non-null-assertion	typescript
no-noninteractive-tabindex	jsx_a11y
no-nonoctal-decimal-escape	eslint
no-null	unicorn
no-obj-calls	eslint
no-object-as-default-parameter	unicorn
no-object-constructor	eslint
no-optional-chaining	oxc
no-page-custom-font	nextjs
no-param-reassign	eslint
no-path-concat	node
no-plusplus	eslint
no-process-env	node
no-process-exit	unicorn
no-promise-executor-return	eslint
no-promise-in-callback	promise
no-proto	eslint
no-prototype-builtins	eslint
no-react-children	react
no-redeclare	eslint
no-redundant-roles	jsx_a11y
no-redundant-should-component-update	react
no-redundant-type-constituents	typescript
no-regex-spaces	eslint
no-relative-parent-imports	import
no-render-return-value	react
no-require-imports	typescript
no-required-prop-with-default	vue
no-rest-spread-properties	oxc
no-restricted-globals	eslint
no-restricted-imports	eslint
no-restricted-jest-methods	jest
no-restricted-matchers	jest
no-restricted-types	typescript
no-return-assign	eslint
no-return-in-finally	promise
no-return-wrap	promise
no-script-component-in-head	nextjs
no-script-url	eslint
no-self-assign	eslint
no-self-compare	eslint
no-self-import	import
no-sequences	eslint
no-set-state	react
no-setter-return	eslint
no-shadow	eslint
no-shadow-restricted-names	eslint
no-single-promise-in-promise-methods	unicorn
no-sparse-arrays	eslint
no-standalone-expect	jest
no-static-element-interactions	jsx_a11y
no-static-only-class	unicorn
no-string-refs	react
no-styled-jsx-in-document	nextjs
no-sync-scripts	nextjs
no-template-curly-in-string	eslint
no-ternary	eslint
no-test-prefixes	jest
no-test-return-statement	jest
no-thenable	unicorn
no-this-alias	typescript
no-this-assignment	unicorn
no-this-before-super	eslint
no-this-in-before-route-enter	vue
no-this-in-exported-function	oxc
no-this-in-sfc	react
no-throw-literal	eslint
no-title-in-document-head	nextjs
no-typeof-undefined	unicorn
no-typos	nextjs
no-unassigned-import	import
no-unassigned-vars	eslint
no-undef	eslint
no-undefined	eslint
no-unescaped-entities	react
no-unexpected-multiline	eslint
no-unknown-property	react
no-unmodified-loop-condition	eslint
no-unnecessary-array-flat-depth	unicorn
no-unnecessary-array-splice-count	unicorn
no-unnecessary-await	unicorn
no-unnecessary-boolean-literal-compare	typescript
no-unnecessary-condition	typescript
no-unnecessary-parameter-property-assignment	typescript
no-unnecessary-qualifier	typescript
no-unnecessary-slice-end	unicorn
no-unnecessary-template-expression	typescript
no-unnecessary-type-arguments	typescript
no-unnecessary-type-assertion	typescript
no-unnecessary-type-constraint	typescript
no-unnecessary-type-conversion	typescript
no-unnecessary-type-parameters	typescript
no-unneeded-async-expect-function	jest
no-unneeded-ternary	eslint
no-unreachable	eslint
no-unreadable-array-destructuring	unicorn
no-unreadable-iife	unicorn
no-unsafe	react
no-unsafe-argument	typescript
no-unsafe-assignment	typescript
no-unsafe-call	typescript
no-unsafe-declaration-merging	typescript
no-unsafe-enum-comparison	typescript
no-unsafe-finally	eslint
no-unsafe-function-type	typescript
no-unsafe-member-access	typescript
no-unsafe-negation	eslint
no-unsafe-optional-chaining	eslint
no-unsafe-return	typescript
no-unsafe-type-assertion	typescript
no-unsafe-unary-minus	typescript
no-untyped-mock-factory	jest
no-unused-expressions	eslint
no-unused-labels	eslint
no-unused-private-class-members	eslint
no-unused-vars	eslint
no-unwanted-polyfillio	nextjs
no-use-before-define	eslint
no-useless-backreference	eslint
no-useless-call	eslint
no-useless-catch	eslint
no-useless-collection-argument	unicorn
no-useless-computed-key	eslint
no-useless-concat	eslint
no-useless-constructor	eslint
no-useless-default-assignment	typescript
no-useless-empty-export	typescript
no-useless-error-capture-stack-trace	unicorn
no-useless-escape	eslint
no-useless-fallback-in-spread	unicorn
no-useless-length-check	unicorn
no-useless-promise-resolve-reject	unicorn
no-useless-rename	eslint
no-useless-return	eslint
no-useless-spread	unicorn
no-useless-switch-case	unicorn
no-useless-undefined	unicorn
no-var	eslint
no-var-requires	typescript
no-void	eslint
no-warning-comments	eslint
no-webpack-loader-syntax	import
no-will-update-set-state	react
no-with	eslint
no-wrapper-object-types	typescript
no-zero-fractions	unicorn
non-nullable-type-assertion-style	typescript
number-arg-out-of-range	oxc
number-literal-case	unicorn
numeric-separators-style	unicorn
only-export-components	react
only-throw-error	typescript
only-used-in-recursion	oxc
operator-assignment	eslint
padding-around-test-blocks	jest
param-names	promise
parameter-properties	typescript
prefer-add-event-listener	unicorn
prefer-array-find	unicorn
prefer-array-flat	unicorn
prefer-array-flat-map	unicorn
prefer-array-index-of	unicorn
prefer-array-some	unicorn
prefer-as-const	typescript
prefer-at	unicorn
prefer-await-to-callbacks	promise
prefer-await-to-then	promise
prefer-bigint-literals	unicorn
prefer-blob-reading-methods	unicorn
prefer-called-once	vitest
prefer-called-times	vitest
prefer-called-with	jest
prefer-catch	promise
prefer-class-fields	unicorn
